Vote Name,Table Name,Sector,Approved Budget,released,spent,% Budget released,% budget spent,% releases spent
Moroto Referral Hosptial,Highlights of Vote Performance,"221011  Printing, Stationery, Photocopying and Binding", 0.02,0.02,0.02,99.5%,100.0%,100.5%
Moroto Referral Hosptial,Highlights of Vote Performance,221012  Small Office Equipment, 0.00,0.01,0.00, 122.2%,100.0%, 81.8%
Moroto Referral Hosptial,Highlights of Vote Performance,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,221017  Subscriptions,0.00,0.00,0.00, 103.0%,100.0%, 97.1%
Moroto Referral Hosptial,Highlights of Vote Performance,222001  Telecommunications, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,223001  Property Expenses,0.02,0.02,0.02,69.3%, 79.5%,114.8%
Moroto Referral Hosptial,Highlights of Vote Performance,223003  Rent � (Produced Assets) to private entities, 0.04,0.05,0.04, 125.0%,100.0%, 80.0%
Moroto Referral Hosptial,Highlights of Vote Performance,223004  Guard and Security services,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,223005  Electricity,0.04,0.03,0.04,98.4%,100.0%,101.6%
Moroto Referral Hosptial,Highlights of Vote Performance,223006  Water,0.02,0.02,0.02,99.5%,100.0%,100.5%
Moroto Referral Hosptial,Highlights of Vote Performance,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,223901  Rent � (Produced Assets) to other govt. units,0.02,0.02,0.02, 132.3%,100.0%, 75.6%
Moroto Referral Hosptial,Highlights of Vote Performance,224004  Cleaning and Sanitation,0.10,0.09,0.09,89.6%, 88.5%, 98.7%
Moroto Referral Hosptial,Highlights of Vote Performance,"224005  Uniforms, Beddings and Protective Gear", 0.01,0.00,0.01,25.0%,100.0%,400.0%
Moroto Referral Hosptial,Highlights of Vote Performance,225001  Consultancy Services- Short term, 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,227001  Travel inland,0.12,0.13,0.12, 105.9%, 97.5%, 92.1%
Moroto Referral Hosptial,Highlights of Vote Performance,227002  Travel abroad,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.05,0.05,0.05, 100.5%,100.0%, 99.5%
Moroto Referral Hosptial,Highlights of Vote Performance,228001  Maintenance - Civil,0.03,0.03,0.03, 106.5%,100.0%, 93.9%
Moroto Referral Hosptial,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.07,0.06,0.07,91.4%,100.0%,109.4%
Moroto Referral Hosptial,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.08,0.09,0.08, 111.8%,100.0%, 89.4%
Moroto Referral Hosptial,Highlights of Vote Performance,228004  Maintenance � Other,0.00,0.00,0.00,87.5%, 75.0%, 85.7%
Moroto Referral Hosptial,Highlights of Vote Performance,Output Class: Capital Purchases, 1.00,0.89,1.10, 89.1%, 110.4%,124.0%
Moroto Referral Hosptial,Highlights of Vote Performance,231002 Residential buildings (Depreciation), 0.90,0.85,1.00, 94.9%, 111.3%,117.3%
Moroto Referral Hosptial,Highlights of Vote Performance,"281504 Monitoring, Supervision & Appraisal of capital wor", 0.10,0.04,0.10, 36.4%, 102.9%,282.5%
Moroto Referral Hosptial,Highlights of Vote Performance,Grand Total:,3.55,3.50,2.69, 98.5%, 75.8%,76.9%
Moroto Referral Hosptial,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,3.55,3.50,2.69, 98.5%, 75.8%,76.9%
Moroto Referral Hosptial,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 3.55, 3.50, 2.69,98.5%, 75.8%,76.9%
Moroto Referral Hosptial,GoU Releases and Expenditure by Project and Programme,01  Moroto Referral Hosptial Services,2.42, 2.46, 1.46, 101.9%, 60.3%,59.2%
Moroto Referral Hosptial,GoU Releases and Expenditure by Project and Programme,02  Moroto Referral Hospital Internal Audit,0.01, 0.00, 0.00,34.3%, 57.1%, 166.7%
Moroto Referral Hosptial,GoU Releases and Expenditure by Project and Programme,03  Moroto Regional Maintenance,0.12, 0.14, 0.12, 113.5%,100.0%,88.1%
Moroto Referral Hosptial,GoU Releases and Expenditure by Project and Programme,1004 Moroto Rehabilitation Referal Hospital, 1.00, 0.89, 1.10,89.1%,110.4%, 124.0%
Moroto Referral Hosptial,GoU Releases and Expenditure by Project and Programme, Total For Vote, 3.55,3.50,2.69,98.5%, 75.8%,76.9%
Naguru Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,5.43, 4.55, 4.54,83.8%, 83.6%, 99.9%
Naguru Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,5.43, 4.55, 4.54,83.8%, 83.6%, 99.9%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 5.26, 4.55, 4.54, 86.5%,86.4%,99.9%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 4.24, 3.44, 3.28, 81.2%,77.3%,95.2%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 0.25, 0.34, 0.34,135.1%, 134.2%,99.3%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.08, 0.08, 0.08,100.0%,99.8%,99.8%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085603 Medicines and health supplies procured and dispensed, 0.00, 0.00, 0.00,100.0%, 100.0%, 100.0%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.06, 0.06, 0.06,100.0%,97.8%,97.8%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 3.81, 2.92, 2.76, 76.8%,72.6%,94.5%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.02, 0.02, 0.02,100.0%, 100.0%, 100.0%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.00, 0.00, 0.00,100.0%, 100.0%, 100.0%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases,1.02, 1.10, 1.26,108.3%, 123.8%, 114.3%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085672 Government Buildings and Administrative Infrastructure, 0.06, 0.06, 0.08,100.0%, 133.3%, 133.3%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,"085676 Purchase of Office and ICT Equipment, including Software", 0.02, 0.02, 0.03,100.0%, 133.3%, 133.3%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085678 Purchase of Office and Residential Furniture and Fittings,0.04, 0.04, 0.04,100.0%, 100.0%, 100.0%
Naguru Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 0.90, 0.99, 1.12,109.4%, 123.9%, 113.2%
Naguru Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote, 5.26, 4.55, 4.54, 86.5%,86.4%,99.9%
Naguru Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,4.24,3.44,3.28, 81.2%, 77.3%,95.2%
Naguru Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 3.42,2.54,2.37,74.1%, 69.4%, 93.7%
Naguru Referral Hospital,GoU Expenditure by Item,212102  Pension for General Civil Service,0.00,0.01,0.01,N/A, N/A,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,213004  Gratuity Expenses,0.00,0.08,0.08,N/A, N/A,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.00,0.00,0.00, 100.0%,101.8%,101.8%
Naguru Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.01,0.01,0.01, 100.0%, 93.4%, 93.4%
Naguru Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.02,0.02,0.02, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.14,0.14,0.14, 100.0%, 98.3%, 98.3%
Naguru Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.04,0.04,0.04, 100.0%, 97.1%, 97.1%
Naguru Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.01,0.01,0.01, 100.0%, 99.3%, 99.3%
Naguru Referral Hospital,GoU Expenditure by Item,221016  IFMS Recurrent costs, 0.00,0.00,0.00, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,223001  Property Expenses,0.03,0.03,0.03, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.08,0.08,0.08, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,223006  Water,0.08,0.08,0.08, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.23,0.23,0.23, 100.0%, 99.8%, 99.8%
Naguru Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear", 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,227001  Travel inland,0.01,0.01,0.01, 100.0%, 98.8%, 98.8%
Naguru Referral Hospital,GoU Expenditure by Item,227002  Travel abroad,0.00,0.00,0.00, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,"227003  Carriage, Haulage, Freight and transport hire",0.00,0.00,0.00, 100.0%,123.5%,123.5%
Naguru Referral Hospital,GoU Expenditure by Item,"227004  Fuel, Lubricants and Oils",0.11,0.11,0.11, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,228001  Maintenance - Civil,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,228002  Maintenance - Vehicles, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,"228003  Maintenance � Machinery, Equipment & Furniture", 0.01,0.01,0.01, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,Output Class: Capital Purchases, 1.02,1.10,1.26, 108.3%,123.8%,114.3%
Naguru Referral Hospital,GoU Expenditure by Item,231001  Non Residential buildings (Depreciation), 0.06,0.06,0.08, 100.0%,133.3%,133.3%
Naguru Referral Hospital,GoU Expenditure by Item,231002  Residential buildings (Depreciation), 0.80,0.89,0.98, 110.6%,122.7%,111.0%
Naguru Referral Hospital,GoU Expenditure by Item,231005  Machinery and equipment,0.02,0.02,0.03, 100.0%,133.3%,133.3%
Naguru Referral Hospital,GoU Expenditure by Item,231006  Furniture and fittings (Depreciation),0.04,0.04,0.04, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,"281504  Monitoring, Supervision & Appraisal of capital wor", 0.10,0.10,0.13, 100.0%,133.3%,133.3%
Naguru Referral Hospital,GoU Expenditure by Item,Output Class: Arrears, 0.07,0.07,0.07, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,321612 Water arrears(Budgeting), 0.07,0.07,0.07, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,321614 Electricity arrears (Budgeting),0.00,0.00,0.00, 100.0%,100.0%,100.0%
Naguru Referral Hospital,GoU Expenditure by Item,Grand Total:,5.32,4.61,4.61, 86.7%, 86.5%,99.9%
Naguru Referral Hospital,GoU Expenditure by Item,Total Excluding Taxes and Arrears:,5.26,4.55,4.54, 86.5%, 86.4%,99.9%
Naguru Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 5.26, 4.55, 4.54,86.5%, 86.4%,99.9%
Naguru Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Naguru Referral Hosptial Services,4.22, 3.43, 3.26,81.3%, 77.4%,95.2%
Naguru Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Naguru Referral Hospital Internal Audit,0.02, 0.01, 0.01,61.5%, 59.2%,96.3%
Naguru Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Naguru Rehabilitation Referal Hospital, 1.02, 1.10, 1.26, 108.3%,123.8%, 114.3%
Naguru Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 5.26,4.55,4.54,86.5%, 86.4%,99.9%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,VF:0901 Rural Water Supply and Sanitation, 72.50, 46.37, 44.31, 64.0%,61.1%, 95.6%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,VF:0902 Urban Water Supply and Sanitation,150.70, 85.13, 84.14, 56.5%,55.8%, 98.8%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,VF:0903 Water for Production,31.97, 24.18, 23.48, 75.6%,73.4%, 97.1%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,VF:0904 Water Resources Management,24.04, 35.45, 24.46,147.5%, 101.7%, 69.0%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,VF:0905 Natural Resources Management,31.49, 22.29, 22.12, 70.8%,70.3%, 99.3%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,"VF:0906 Weather, Climate and Climate Change",7.83,6.50,6.25, 83.0%,79.9%, 96.3%
Ministry of Water and Environment,Releases and Expenditure by Vote Function,"VF:0949 Policy, Planning and Support Services", 18.68, 22.50, 21.77,120.4%, 116.5%, 96.7%
Ministry of Water and Environment,Releases and Expenditure by Vote Function, Total For Vote,337.21,242.42,226.52, 71.9%,67.2%, 93.4%
